rule,engine,track,cell_id,seed,rep,PP_ms,RTT_ms,loss_pct,msg_bytes,hosts,nodes,qos_params,sent,received,delivery_ratio,late_join_recovered,owner,failover_ms,requested_deadline_missed,offered_deadline_missed,liveliness_lost,reader_not_alive,disposed,no_writers,created,matched,verdict
30,cyclone,loopback,359e02f51118,20260701,1,50,1,0,256,2,2,"{""_expect"": {""expect_purge"": false, ""kind"": ""purge"", ""knob"": ""autopurge_nowriter_ms"", ""value"": -1}, ""_notin_engine"": ""fastdds"", ""_wpd_family"": ""wdlc_nowriterI"", ""autodispose"": false, ""autopurge_nowriter_ms"": -1, ""probe"": ""no_writers_persist""}",20,20,1.0,,,,,,,,0,1,true,true,accepted
30,cyclone,loopback,83b464d7066b,20260701,0,50,1,0,256,2,2,"{""_expect"": {""expect_purge"": false, ""kind"": ""purge"", ""knob"": ""autopurge_nowriter_ms"", ""value"": -1}, ""_notin_engine"": ""fastdds"", ""_wpd_family"": ""wdlc_nowriterI"", ""autodispose"": false, ""autopurge_nowriter_ms"": -1, ""probe"": ""no_writers_persist""}",20,20,1.0,,,,,,,,0,1,true,true,accepted
30,fastdds,loopback,ce473b423739,20260701,0,50,1,0,256,2,2,"{""_expect"": {""expect_purge"": false, ""kind"": ""purge"", ""knob"": ""autopurge_nowriter_ms"", ""value"": -1}, ""_notin_engine"": ""fastdds"", ""_wpd_family"": ""wdlc_nowriterI"", ""autodispose"": false, ""autopurge_nowriter_ms"": -1, ""probe"": ""no_writers_persist""}",20,20,1.0,,,,,,,,0,1,true,true,accepted
30,fastdds,loopback,ef79acaca941,20260701,1,50,1,0,256,2,2,"{""_expect"": {""expect_purge"": false, ""kind"": ""purge"", ""knob"": ""autopurge_nowriter_ms"", ""value"": -1}, ""_notin_engine"": ""fastdds"", ""_wpd_family"": ""wdlc_nowriterI"", ""autodispose"": false, ""autopurge_nowriter_ms"": -1, ""probe"": ""no_writers_persist""}",20,20,1.0,,,,,,,,0,1,true,true,accepted
