rule,engine,track,cell_id,seed,rep,PP_ms,RTT_ms,loss_pct,msg_bytes,hosts,nodes,qos_params,sent,received,delivery_ratio,late_join_recovered,owner,failover_ms,requested_deadline_missed,offered_deadline_missed,liveliness_lost,reader_not_alive,disposed,no_writers,created,matched,verdict
7,cyclone,loopback,202e1416ddf0,20260630,2,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,d0608051db98,20260630,3,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,2ade72ab1b72,20260630,4,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,9c8abe00ed3d,20260630,5,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,b1782f3ac751,20260630,6,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,45ae04642a49,20260630,7,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,774b6f0c8b00,20260630,8,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,98939c40dba1,20260630,9,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 100}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,d06de3316abd,20260630,0,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,4a0bb0edc020,20260630,1,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,bab111b68bf1,20260630,2,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,dc06a9501ca3,20260630,3,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,4661c0043aac,20260630,4,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,c2ea051913dd,20260630,5,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,9bfe9b0c2749,20260630,6,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,f02ede9f5226,20260630,7,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,643ee650a5ed,20260630,8,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,403ae7f01b68,20260630,9,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 200}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,679e975aa316,20260630,0,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,9,7,0,0,,,true,true,delivered
7,cyclone,loopback,507f8e9e3813,20260630,1,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,9,7,0,0,,,true,true,delivered
7,cyclone,loopback,c8274aa63feb,20260630,2,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,1d594b88eccb,20260630,3,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,2597ce25221e,20260630,4,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,9,7,0,0,,,true,true,delivered
7,cyclone,loopback,614b8a61458b,20260630,5,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,9,7,0,0,,,true,true,delivered
7,cyclone,loopback,c7012e84a3c0,20260630,6,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,66cceea519d8,20260630,7,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,11aec16c81e4,20260630,8,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,fba1e7fe179d,20260630,9,20,1,0,1024,2,2,"{""deadline_ms"": 300, ""lifespan_ms"": 200}",1000,1000,1.0,,,,8,7,0,0,,,true,true,delivered
7,cyclone,loopback,2e73b15d5153,20260630,0,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,7d7b1afc2584,20260630,1,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,2ff6188e986c,20260630,2,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,7d039a1a013a,20260630,3,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,b412f24ad5a2,20260630,4,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,42a551b9fb41,20260630,5,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,5bccde380c99,20260630,6,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,28d28d5e2e60,20260630,7,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,c35f0a90eecc,20260630,8,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,2f0decc25328,20260630,9,20,1,0,1024,2,2,"{""deadline_ms"": 500, ""lifespan_ms"": 200}",1000,1000,1.0,,,,6,5,0,0,,,true,true,delivered
7,cyclone,loopback,bf02ee47937a,20260630,0,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,8c6e5c39e5b8,20260630,1,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,c7fdaf1b5a3e,20260630,2,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,b53fe3f38a7f,20260630,3,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,80914f339f9f,20260630,4,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,261677778555,20260630,5,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,0f90a88e57ab,20260630,6,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,16,12,0,0,,,true,true,delivered
7,cyclone,loopback,5747c39608cc,20260630,7,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
7,cyclone,loopback,31318993cb50,20260630,8,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,18,12,0,0,,,true,true,delivered
7,cyclone,loopback,80354e2736f6,20260630,9,20,1,0,1024,2,2,"{""deadline_ms"": 150, ""lifespan_ms"": 400}",1000,1000,1.0,,,,15,12,0,0,,,true,true,delivered
