rule,engine,track,cell_id,seed,rep,PP_ms,RTT_ms,loss_pct,msg_bytes,hosts,nodes,qos_params,sent,received,delivery_ratio,late_join_recovered,owner,failover_ms,requested_deadline_missed,offered_deadline_missed,liveliness_lost,reader_not_alive,disposed,no_writers,created,matched,verdict
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b1_r0,,0,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 1, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,60,1.0,,,,,,,,,,,True,delivered
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b1_r1,,1,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 1, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,60,1.0,,,,,,,,,,,True,delivered
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b1_r2,,2,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 1, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,60,1.0,,,,,,,,,,,True,delivered
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b3_r0,,0,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 3, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,60,1.0,,,,,,,,,,,True,delivered
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b3_r1,,1,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 3, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,60,1.0,,,,,,,,,,,True,delivered
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b3_r2,,2,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 3, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,60,1.0,,,,,,,,,,,True,delivered
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b5_r0,,0,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 5, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,60,1.0,,,,,,,,,,,True,delivered
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b5_r1,,1,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 5, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,60,1.0,,,,,,,,,,,True,delivered
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b5_r2,,2,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 5, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,58,0.9667,,,,,,,,,,,True,delivered
rule_32_dropmode,cyclone,loopback,cyclone_block_l10_rtt100_pp20_b8_r0,,0,20,100,10,1024,1,2,"{""below_T"": true, ""depth_bound"": 8, ""history_kind"": ""KEEP_ALL"", ""mode"": ""block"", ""reliability"": ""RELIABLE"", ""threshold_T"": 11}",60,60,1.0,,,,,,,,,,,True,delivered
